diputado,partido,id_diputado,distrito
Sr. Florcita Alarcón,Partido: PH,1008,Distrito: N°17
Sr. Jorge Alessandri,Partido: UDI,1009,Distrito: N°10
Sr. René Alinco,Partido: IND,803,Distrito: N°27
Sr. Sebastián Álvarez,Partido: EVOP,1010,Distrito: N°23
Sra. Jenny Álvarez,Partido: PS,968,Distrito: N°26
Sr. Pedro Pablo Alvarez-Salamanca,Partido: UDI,923,Distrito: N°17
Sra. Sandra Amar,Partido: UDI,1011,Distrito: N°28
Sr. Gabriel Ascencio,Partido: DC,810,Distrito: N°26
Sr. Pepe Auth,Partido: IND,925,Distrito: N°8
Sr. Nino Baltolu,Partido: UDI,926,Distrito: N°1
Sr. Boris Barrera,Partido: PC,1012,Distrito: N°9
Sr. Ramón Barros,Partido: UDI,811,Distrito: N°16
Sr. Jaime Bellolio,Partido: UDI,970,Distrito: N°14
Sr. Bernardo Berger,Partido: RN,971,Distrito: N°24
Sr. Alejandro Bernales,Partido: LIBERAL,1013,Distrito: N°26
Sr. Karim Bianchi,Partido: IND,1014,Distrito: N°28
Sr. Sergio Bobadilla,Partido: UDI,815,Distrito: N°20
Sr. Gabriel Boric,Partido: PCS,972,Distrito: N°28
Sr. Jorge Brito,Partido: RD,1015,Distrito: N°7
Sr. Miguel Ángel Calisto,Partido: DC,1016,Distrito: N°27
Sra. Karol Cariola,Partido: PC,973,Distrito: N°9
Sr. Álvaro Carter,Partido: UDI,1017,Distrito: N°12
Sra. Loreto Carvajal,Partido: PPD,974,Distrito: N°19
Sra. Natalia Castillo,Partido: RD,1018,Distrito: N°10
Sr. José Miguel Castro,Partido: RN,1019,Distrito: N°3
Sr. Juan Luis Castro,Partido: PS,931,Distrito: N°15
Sr. Ricardo Celis,Partido: PPD,1020,Distrito: N°23
Sr. Andrés Celis,Partido: RN,1021,Distrito: N°7
Sra. Daniella Cicardini,Partido: PS,975,Distrito: N°4
Sra. Sofía Cid,Partido: RN,1022,Distrito: N°4
Sr. Juan Antonio Coloma,Partido: UDI,976,Distrito: N°14
Sr. Miguel Crispi,Partido: RD,1023,Distrito: N°12
Sr. Luciano Cruz-Coke,Partido: EVOP,1024,Distrito: N°10
Sra. Catalina Del Real,Partido: RN,1025,Distrito: N°11
Sr. Mario Desbordes,Partido: RN,1026,Distrito: N°8
Sr. Marcelo Díaz,Partido: IND,827,Distrito: N°7
Sr. Jorge Durán,Partido: RN,1027,Distrito: N°9
Sr. Eduardo Durán,Partido: RN,1028,Distrito: N°13
Sr. Francisco Eguiguren,Partido: RN,1029,Distrito: N°5
Sr. Fidel Espinoza,Partido: PS,837,Distrito: N°25
Sra. Maya Fernández,Partido: PS,981,Distrito: N°10
